USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_coreaudiod        430   0.0  0.0 410192192   3536   ??  Ss    5:39PM   0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
_windowserver      422   0.0  0.0 426933024   5104   ??  S     5:39PM   0:00.18 /usr/sbin/distnoted agent
root               410   0.0  0.0 426933024   5616   ??  S     5:39PM   0:00.21 /usr/sbin/distnoted agent
root               400   0.0  0.0 426928992   3696   ??  S     5:39PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
_coreaudiod        421   0.0  0.0 426933024   5296   ??  S     5:39PM   0:00.18 /usr/sbin/distnoted agent
root               427   0.0  0.1 426999472  21424   ??  Ss    5:39PM   0:01.55 /usr/libexec/storagekitd
_analyticsd        395   0.0  0.2 426979680  34896   ??  Ss    5:39PM   0:09.96 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
root               414   0.0  0.5 426987168  76416   ??  Ss    5:39PM   0:21.57 /usr/libexec/mobileassetd
_biome             417   0.0  0.1 426966576  15440   ??  Ss    5:39PM   0:00.35 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
root               416   0.0  0.1 426968224  16416   ??  Ss    5:39PM   0:00.43 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root               415   0.0  0.1 426977776  13232   ??  Ss    5:39PM   0:00.05 /usr/libexec/secinitd
root               413   0.0  0.0 410632064   4432   ??  Ss    5:39PM   0:00.02 /usr/libexec/cryptexd
root               411   0.0  0.0 426966848   8368   ??  Ss    5:39PM   0:00.03 /usr/libexec/trustdFileHelper
_hidd              409   0.0  0.0 426932512   4464   ??  Ss    5:39PM   0:00.02 /usr/libexec/hidd
root               407   0.0  0.1 426967488  12000   ??  Ss    5:39PM   0:00.24 /usr/libexec/eligibilityd
root               405   0.0  0.1 426965856  10720   ??  Ss    5:39PM   0:00.40 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
_nsurlsessiond     398   0.0  0.1 426970560  19696   ??  Ss    5:39PM   0:00.46 /usr/libexec/nsurlsessiond --privileged
_trustd            401   0.0  0.1 426971264  20800   ??  Ss    5:39PM   0:16.28 /usr/libexec/trustd
root               404   0.0  0.1 426968176  13296   ??  Ss    5:39PM   0:00.22 /usr/libexec/biometrickitd --launchd
root               402   0.0  0.0 426966128   7232   ??  Ss    5:39PM   0:00.13 /usr/libexec/apfsd
root               397   0.0  0.1 426976928  19088   ??  Ss    5:39PM   0:00.86 /usr/libexec/nehelper
_softwareupdate    331   0.0  0.0 426969264   5056   ??  Ss    5:39PM   0:00.35 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
_locationd         357   0.0  0.2 426994288  34736   ??  Ss    5:39PM   0:08.28 /usr/libexec/locationd
_coreaudiod        392   0.0  0.4 426995440  62992   ??  Ss    5:39PM   1:23.62 /usr/sbin/coreaudiod
_accessoryupdater   320   0.0  0.1 426968848  13280   ??  Ss    5:39PM   0:03.28 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
root               394   0.0  0.1 426966752  13536   ??  Ss    5:39PM   0:00.08 /usr/libexec/PowerUIAgent
_distnote          363   0.0  0.0 426933024   7280   ??  Ss    5:39PM   0:01.06 /usr/sbin/distnoted daemon
_timed             353   0.0  0.0 426967168   7888   ??  Ss    5:39PM   0:00.17 /usr/libexec/timed
root               391   0.0  0.2 426973216  32368   ??  Ss    5:39PM   0:14.61 /usr/libexec/airportd
_usbmuxd           354   0.0  0.1 426977008   9840   ??  Ss    5:39PM   0:00.11 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
root               390   0.0  0.1 411103456  10640   ??  Ss    5:39PM   0:00.05 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root               389   0.0  0.0 426966368   6832   ??  Ss    5:39PM   0:00.04 /usr/libexec/powerexperienced
root               388   0.0  0.1 426977216  23840   ??  Ss    5:39PM   0:01.24 /usr/libexec/lsd runAsRoot
root               387   0.0  0.1 426957168  16416   ??  Ss    5:39PM   0:00.26 /System/Library/CoreServices/coreservicesd
_corespeechd       332   0.0  0.0 410653456   4848   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
root               386   0.0  0.1 426974912  21904   ??  Ss    5:39PM   0:03.55 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               385   0.0  0.2 426980128  27040   ??  Ss    5:39PM   0:16.27 /usr/libexec/runningboardd
kaustubh           383   0.0  1.1 412423568 190848   ??  Ss    5:39PM   0:03.33 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               382   0.0  0.1 426933232  10720   ??  Ss    5:39PM   0:04.50 /usr/sbin/cfprefsd daemon
root               381   0.0  0.2 426978240  26240   ??  Ss    5:39PM   0:04.01 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               379   0.0  0.0 426932768   5824   ??  Ss    5:39PM   0:00.20 /usr/libexec/logd_helper
root               324   0.0  0.0 426929040   3104   ??  Ss    5:39PM   0:00.02 /usr/libexec/IOMFB_bics_daemon
root               322   0.0  0.0 426928480   1440   ??  Ss    5:39PM   0:00.01 endpointsecurityd
root               344   0.0  0.2 426987328  32272   ??  Ss    5:39PM   0:02.04 /usr/libexec/coreduetd
root               315   0.0  0.1 426972816  21344   ??  Ss    5:39PM   0:01.17 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               318   0.0  0.1 426977728  20416   ??  Ss    5:39PM   0:00.64 /usr/sbin/systemstats --daemon
root               352   0.0  0.1 426968464  15824   ??  Ss    5:39PM   0:05.19 /System/Library/CoreServices/launchservicesd
root               361   0.0  0.2 426974592  25840   ??  Ss    5:39PM   0:08.34 /usr/libexec/dasd
root               358   0.0  0.1 426968000  13264   ??  Ss    5:39PM   0:00.27 /usr/libexec/nesessionmanager
root               370   0.0  0.0 426932976   6336   ??  Ss    5:39PM   0:00.12 /usr/libexec/usermanagerd -t 15
root               311   0.0  0.0 426967184   8384   ??  Ss    5:39PM   0:00.05 /usr/libexec/smd
root               368   0.0  0.0 426967472   3328   ??  Ss    5:39PM   0:00.07 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               378   0.0  0.0 426932768   1584   ??  Ss    5:39PM   0:00.02 aslmanager
root               366   0.0  0.0 426928928   1280   ??  Ss    5:39PM   0:00.06 /usr/libexec/dirhelper
root               377   0.0  0.2 426999360  34320   ??  Ss    5:39PM   0:00.38 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               345   0.0  0.0 426933648   2624   ??  Ss    5:39PM   0:00.24 /usr/sbin/syslogd
root               364   0.0  0.0 426966368   4752   ??  Ss    5:39PM   0:00.03 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
root               367   0.0  0.0 426932592   7008   ??  Ss    5:39PM   0:00.06 /System/Library/CoreServices/logind
root               349   0.0  0.1 426972256  21792   ??  Ss    5:39PM   0:11.13 /usr/libexec/opendirectoryd
root               374   0.0  0.1 426969232  11216   ??  Ss    5:39PM   0:00.10 /usr/libexec/sandboxd
root               355   0.0  0.1 426968240  13328   ??  Ss    5:39PM   0:00.64 /usr/sbin/securityd -i
root               369   0.0  0.0 426928992   2752   ??  Ss    5:39PM   0:00.01 /usr/sbin/KernelEventAgent
root               330   0.0  0.1 426932912  13632   ??  Ss    5:39PM   0:00.09 /usr/libexec/keybagd -t 15
root               376   0.0  0.1 426967632  17008   ??  Ss    5:39PM   0:00.33 /usr/libexec/AirPlayXPCHelper
root               348   0.0  0.0 426966848   7488   ??  Ss    5:39PM   0:00.72 /usr/libexec/thermalmonitord
root               373   0.0  0.0 426932720   6912   ??  Ss    5:39PM   0:04.05 /usr/sbin/notifyd
root               328   0.0  0.0 426966704   6272   ??  Ss+   5:39PM   0:00.04 /usr/libexec/remoted
root               341   0.0  0.1 426966704   8928   ??  Ss    5:39PM   0:00.62 /usr/libexec/diskarbitrationd
root               340   0.0  0.1 426970704  24704   ??  Ss    5:39PM   0:00.63 /usr/libexec/kernelmanagerd
root               372   0.0  0.2 426989072  32432   ??  Ss    5:39PM   0:06.37 /usr/sbin/bluetoothd
root               338   0.0  0.4 427015936  65856   ??  Ss    5:39PM   0:16.26 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root               334   0.0  0.0 426933168   3984   ??  Ss    5:39PM   0:00.18 /usr/libexec/watchdogd
root               326   0.0  0.1 426967200  10176   ??  Ss    5:39PM   0:00.16 /usr/libexec/amfid
root               360   0.0  0.0 426928976   3904   ??  Ss    5:39PM   0:00.02 autofsd
root               351   0.0  0.1 427046992  23312   ??  Ss    5:39PM   0:02.01 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               321   0.0  0.1 426971248  16656   ??  Ss    5:39PM   0:02.70 /usr/libexec/configd
root               314   0.0  0.1 426938192  11264   ??  Ss    5:39PM   0:09.68 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               323   0.0  0.1 426969248  13312   ??  Ss    5:39PM   0:04.39 /System/Library/CoreServices/powerd.bundle/powerd
root               312   0.0  0.2 426976096  30000   ??  Ss    5:39PM   0:01.76 /usr/libexec/UserEventAgent (System)
root              2381   0.0  0.0 410724368   2064 s000  R+    7:06PM   0:00.01 ps aux
root                 1   0.0  0.2 426853712  26128   ??  Ss    5:38PM   0:16.74 /sbin/launchd
kaustubh          2374   0.0  0.2 426984432  26032   ??  S     7:05PM   0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
kaustubh          2291   0.0  0.0 410798288   4816 s000  S     6:40PM   0:00.04 -zsh
root              2290   0.0  0.0 410752944   6384 s000  Ss    6:40PM   0:00.01 login -pf kaustubh
kaustubh          1742   0.0  0.4 499103984  75296   ??  Ss    6:14PM   0:00.20 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
