USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kaustubh          1034   0.0  1.4 432524624 241936   ??  Ss    5:41PM   0:45.50 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
kaustubh          1033   0.0  0.9 431579312 149856   ??  Ss    5:41PM   0:09.64 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
kaustubh          1032   0.0  0.2 427132816  25696   ??  S     5:41PM   0:01.13 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
kaustubh          1031   0.0  0.0 410313936   7088   ??  Ss    5:41PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              1030   0.0  0.0 426941312   5664   ??  Ss    5:41PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
kaustubh          1028   0.0  0.2 426979440  36512   ??  S     5:41PM   0:00.41 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
kaustubh          1019   0.0  0.1 426970656  14896   ??  S     5:41PM   0:00.13 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
kaustubh          1018   0.0  0.1 426966416  12928   ??  S     5:41PM   0:00.07 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
kaustubh          1017   0.0  0.1 426967360  12368   ??  Ss    5:41PM   0:00.08 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
kaustubh          1016   0.0  0.1 427083152  20272   ??  S     5:41PM   0:00.33 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
kaustubh          1015   0.0  1.5 432023856 250112   ??  S     5:41PM   0:36.11 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
_fpsd              976   0.0  0.2 426981968  31232   ??  Ss    5:41PM   0:00.82 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
root               975   0.0  0.0 426933664   8368   ??  Ss    5:41PM   0:00.04 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
kaustubh           973   0.0  0.0 426933104   7104   ??  S     5:41PM   0:00.03 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
kaustubh           964   0.0  0.2 426993808  40144   ??  S     5:41PM   0:01.00 /usr/libexec/gamed
kaustubh           962   0.0  0.2 427126432  39968   ??  S     5:41PM   0:00.26 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
kaustubh           951   0.0  0.2 411185456  25328   ??  S     5:40PM   0:00.15 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
kaustubh           948   0.0  0.1 426986096  24224   ??  Ss    5:40PM   0:02.05 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
kaustubh           944   0.0  0.1 426970080  23040   ??  S     5:40PM   0:00.16 /System/Library/Frameworks/ShazamKit.framework/shazamd
kaustubh           942   0.0  0.2 426977808  28048   ??  Ss    5:40PM   0:00.07 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
kaustubh           941   0.0  0.1 426978048  17728   ??  Ss    5:40PM   0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
kaustubh           940   0.0  0.1 426978064  17616   ??  Ss    5:40PM   0:00.06 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
